,birth_year,credit_score,yearly_income,income_type,employment_type,houseown_type,desired_amount,purpose,existing_loan_cnt,existing_loan_amt,gender,time,cluster,count,kmeans_minmax
65,50,760.0,85000000.0,FREELANCER,기타,전월세,55000000.0,대환대출,1.0,260000000.0,1.0,485,0,1,2
69,30,780.0,58000000.0,PRACTITIONER,정규직,자가,40000000.0,대환대출,6.0,151000000.0,1.0,1920,0,7,0
75,40,670.0,50000000.0,EARNEDINCOME,정규직,자가,50000000.0,사업자금,2.0,181000000.0,1.0,781,0,5,0
81,40,650.0,60000000.0,PRIVATEBUSINESS,기타,기타가족소유,30000000.0,대환대출,2.0,18000000.0,1.0,1360,0,2,2
85,40,590.0,25000000.0,EARNEDINCOME,정규직,전월세,10000000.0,생활비,4.0,10000000.0,1.0,251,0,1,3
86,50,680.0,25000000.0,OTHERINCOME,기타,전월세,10000000.0,전월세보증금,1.0,18000000.0,1.0,896,0,3,2
90,40,990.0,61000000.0,EARNEDINCOME,정규직,전월세,20000000.0,주택구입,3.0,321000000.0,1.0,322,0,1,0
101,30,840.0,10000000.0,OTHERINCOME,기타,기타가족소유,10000000.0,생활비,3.0,22000000.0,0.0,994,0,2,2
105,30,830.0,35000000.0,EARNEDINCOME,정규직,전월세,70000000.0,주택구입,1.0,1000000.0,1.0,712,0,2,0
123,30,960.0,51000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,생활비,1.0,10000000.0,1.0,18,0,1,3
131,20,650.0,25000000.0,OTHERINCOME,기타,전월세,4000000.0,생활비,3.0,15000000.0,0.0,4852,0,14,2
132,30,480.0,36000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,6.0,114000000.0,1.0,2351,0,5,0
135,40,580.0,27000000.0,EARNEDINCOME,정규직,전월세,13000000.0,대환대출,5.0,74000000.0,1.0,3590,0,8,0
137,20,850.0,0.0,OTHERINCOME,기타,기타가족소유,30000000.0,사업자금,1.0,18000000.0,1.0,409,0,1,2
140,30,810.0,30000000.0,PRIVATEBUSINESS,기타,기타가족소유,30000000.0,생활비,1.0,2000000.0,1.0,291,0,1,2
147,50,540.0,32000000.0,EARNEDINCOME,정규직,자가,10000000.0,생활비,12.0,162000000.0,1.0,1128,0,6,3
152,40,610.0,36000000.0,EARNEDINCOME,정규직,전월세,68000000.0,대환대출,4.0,330000000.0,1.0,772,0,1,0
162,30,740.0,40000000.0,EARNEDINCOME,정규직,전월세,20000000.0,대환대출,6.0,33000000.0,1.0,350,0,1,0
165,20,810.0,24000000.0,EARNEDINCOME,정규직,기타가족소유,1000000.0,생활비,1.0,29000000.0,0.0,1664,0,5,1
176,30,560.0,32000000.0,EARNEDINCOME,정규직,기타가족소유,30000000.0,대환대출,1.0,18000000.0,0.0,2063,0,11,1
180,40,650.0,20000000.0,FREELANCER,기타,기타가족소유,20000000.0,대환대출,5.0,35000000.0,0.0,2374,0,6,2
183,20,690.0,63000000.0,EARNEDINCOME,정규직,전월세,50000000.0,대환대출,3.0,50000000.0,1.0,875,0,1,0
192,20,750.0,10000000.0,EARNEDINCOME2,기타,전월세,3000000.0,생활비,1.0,18000000.0,0.0,530,0,1,2
194,30,660.0,30000000.0,EARNEDINCOME,계약직,기타가족소유,18000000.0,대환대출,1.0,15000000.0,0.0,1173,0,3,1
209,20,630.0,30000000.0,EARNEDINCOME,정규직,전월세,12000000.0,생활비,3.0,21000000.0,1.0,42,0,2,3
215,30,960.0,40000000.0,EARNEDINCOME,정규직,자가,100000000.0,생활비,3.0,84000000.0,0.0,340,0,1,1
219,40,730.0,10000000.0,OTHERINCOME,기타,기타가족소유,3000000.0,생활비,7.0,15000000.0,1.0,1740,0,1,2
220,30,710.0,78000000.0,EARNEDINCOME,정규직,자가,28000000.0,생활비,2.0,319000000.0,1.0,1151,0,5,3
230,40,700.0,40000000.0,EARNEDINCOME,정규직,자가,5000000.0,생활비,1.0,18000000.0,1.0,2370,0,7,3
235,20,730.0,21000000.0,EARNEDINCOME,정규직,전월세,11000000.0,전월세보증금,1.0,0.0,0.0,1230,0,2,1
243,20,800.0,32000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,4.0,16000000.0,0.0,409,0,3,1
251,40,730.0,54000000.0,EARNEDINCOME,정규직,자가,10000000.0,생활비,1.0,3000000.0,1.0,516,0,6,3
257,30,760.0,35000000.0,EARNEDINCOME,정규직,자가,50000000.0,생활비,2.0,4000000.0,1.0,674,0,1,3
263,30,730.0,65000000.0,EARNEDINCOME,계약직,자가,80000000.0,대환대출,2.0,77000000.0,1.0,476,0,4,0
264,20,570.0,29000000.0,EARNEDINCOME,정규직,기타가족소유,3000000.0,생활비,1.0,4000000.0,1.0,1107,0,1,3
266,40,580.0,39000000.0,EARNEDINCOME,정규직,전월세,15000000.0,생활비,8.0,89000000.0,1.0,3349,0,21,3
273,30,620.0,40000000.0,EARNEDINCOME2,계약직,전월세,5000000.0,생활비,4.0,43000000.0,0.0,744,0,2,1
284,20,740.0,20000000.0,FREELANCER,기타,전월세,1000000.0,생활비,1.0,3000000.0,1.0,215,0,1,2
286,50,620.0,30000000.0,FREELANCER,기타,자가,30000000.0,생활비,4.0,152000000.0,1.0,215,0,3,2
290,50,790.0,50000000.0,OTHERINCOME,기타,기타가족소유,20000000.0,대환대출,2.0,15000000.0,1.0,293,0,1,2
295,40,660.0,28000000.0,EARNEDINCOME,정규직,기타가족소유,30000000.0,대환대출,2.0,8000000.0,0.0,1272,0,6,1
301,20,560.0,50000000.0,PRIVATEBUSINESS,정규직,전월세,20000000.0,대환대출,1.0,4000000.0,1.0,2913,0,2,0
310,30,530.0,30000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,생활비,5.0,76000000.0,1.0,993,0,2,3
331,30,650.0,34000000.0,EARNEDINCOME,정규직,기타가족소유,60000000.0,대환대출,6.0,100000000.0,0.0,255,0,1,1
333,20,610.0,70000000.0,PRIVATEBUSINESS,정규직,기타가족소유,5000000.0,사업자금,8.0,24000000.0,0.0,490,0,1,1
335,40,950.0,48000000.0,EARNEDINCOME,정규직,자가,355000000.0,대환대출,1.0,355000000.0,1.0,565,0,2,0
342,50,560.0,30000000.0,EARNEDINCOME,계약직,전월세,3000000.0,생활비,5.0,95000000.0,0.0,117,0,1,1
343,50,890.0,60000000.0,FREELANCER,기타,자가,18000000.0,대환대출,1.0,18000000.0,1.0,925,0,2,2
345,40,770.0,34000000.0,EARNEDINCOME,정규직,전월세,70000000.0,대환대출,2.0,62000000.0,0.0,308,0,3,1
347,30,960.0,45000000.0,EARNEDINCOME,정규직,기타가족소유,300000000.0,주택구입,1.0,18000000.0,1.0,307,0,2,0
352,30,990.0,43000000.0,EARNEDINCOME,정규직,기타가족소유,33000000.0,생활비,2.0,40000000.0,1.0,355,0,1,3
354,40,510.0,25000000.0,EARNEDINCOME,정규직,전월세,1000000.0,생활비,6.0,46000000.0,0.0,3504,0,16,1
356,40,940.0,20000000.0,OTHERINCOME,기타,전월세,10000000.0,생활비,2.0,12000000.0,0.0,1314,0,11,2
363,40,880.0,50000000.0,PRIVATEBUSINESS,정규직,전월세,30000000.0,생활비,2.0,27000000.0,1.0,996,0,1,3
366,50,640.0,50000000.0,PRIVATEBUSINESS,정규직,기타가족소유,20000000.0,사업자금,5.0,59000000.0,1.0,349,0,2,0
376,60,750.0,30000000.0,FREELANCER,기타,전월세,3000000.0,기타,3.0,23000000.0,1.0,490,0,1,2
380,40,560.0,60000000.0,EARNEDINCOME,정규직,전월세,5000000.0,생활비,4.0,24000000.0,1.0,963,0,5,3
384,20,670.0,15000000.0,OTHERINCOME,기타,기타가족소유,1000000.0,생활비,5.0,3000000.0,1.0,408,0,4,2
391,50,610.0,40000000.0,PRIVATEBUSINESS,정규직,자가,50000000.0,대환대출,4.0,88000000.0,1.0,1782,0,16,0
395,50,710.0,30000000.0,EARNEDINCOME,정규직,전월세,15000000.0,생활비,1.0,18000000.0,1.0,2000,0,1,3
402,30,820.0,35000000.0,EARNEDINCOME,정규직,전월세,10000000.0,생활비,9.0,118000000.0,1.0,387,0,1,3
412,40,910.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,생활비,1.0,18000000.0,1.0,533,0,2,3
415,30,950.0,40000000.0,PRACTITIONER,기타,자가,80000000.0,대환대출,2.0,83000000.0,1.0,964,0,1,2
417,50,620.0,36000000.0,PRIVATEBUSINESS,기타,전월세,20000000.0,생활비,10.0,10000000.0,0.0,958,0,3,2
421,30,540.0,30000000.0,EARNEDINCOME,정규직,기타가족소유,45000000.0,대환대출,5.0,42000000.0,1.0,238,0,1,0
423,40,730.0,45000000.0,EARNEDINCOME,정규직,전월세,45000000.0,대환대출,4.0,96000000.0,0.0,5273,0,15,1
428,40,930.0,40000000.0,EARNEDINCOME,정규직,자가,280000000.0,주택구입,1.0,3000000.0,1.0,220,0,1,0
431,40,700.0,36000000.0,EARNEDINCOME,정규직,기타가족소유,38000000.0,대환대출,1.0,38000000.0,0.0,710,0,1,1
432,40,690.0,40000000.0,PRIVATEBUSINESS,정규직,자가,50000000.0,대환대출,5.0,150000000.0,1.0,695,0,1,0
436,30,600.0,23000000.0,EARNEDINCOME,정규직,기타가족소유,1000000.0,생활비,2.0,34000000.0,0.0,793,0,4,1
444,30,600.0,48000000.0,FREELANCER,기타,자가,3000000.0,생활비,8.0,275000000.0,0.0,718,0,3,2
446,50,570.0,32000000.0,EARNEDINCOME,정규직,전월세,30000000.0,대환대출,7.0,49000000.0,1.0,1103,0,2,0
447,50,640.0,48000000.0,EARNEDINCOME,계약직,기타가족소유,10000000.0,생활비,5.0,53000000.0,1.0,1291,0,6,3
452,40,880.0,109000000.0,EARNEDINCOME,정규직,자가,80000000.0,대환대출,2.0,94000000.0,1.0,141,0,1,0
453,20,730.0,1000000.0,OTHERINCOME,기타,전월세,3000000.0,생활비,2.0,8000000.0,1.0,539,0,1,2
484,40,620.0,50000000.0,PRIVATEBUSINESS,기타,기타가족소유,5000000.0,생활비,2.0,43000000.0,1.0,1891,0,9,2
491,30,770.0,70000000.0,EARNEDINCOME,정규직,자가,20000000.0,생활비,6.0,345000000.0,1.0,2917,0,21,3
506,40,900.0,65000000.0,FREELANCER,기타,자가,100000000.0,생활비,5.0,346000000.0,1.0,666,0,1,2
507,40,610.0,70000000.0,EARNEDINCOME,정규직,자가,20000000.0,생활비,8.0,245000000.0,0.0,987,0,4,1
511,30,600.0,40000000.0,FREELANCER,기타,기타가족소유,20000000.0,생활비,2.0,47000000.0,1.0,910,0,6,2
520,30,520.0,0.0,OTHERINCOME,기타,자가,5000000.0,생활비,13.0,49000000.0,0.0,644,0,5,2
524,20,900.0,75000000.0,EARNEDINCOME,정규직,전월세,50000000.0,생활비,6.0,286000000.0,1.0,972,0,4,3
525,40,660.0,12000000.0,EARNEDINCOME2,일용직,기타가족소유,30000000.0,대환대출,1.0,38000000.0,0.0,4497,0,18,1
533,20,750.0,65000000.0,EARNEDINCOME,정규직,기타가족소유,70000000.0,생활비,10.0,151000000.0,0.0,1110,0,8,1
539,30,950.0,31000000.0,EARNEDINCOME,정규직,자가,100000000.0,생활비,6.0,45000000.0,1.0,1203,0,1,3
542,20,750.0,24000000.0,EARNEDINCOME,정규직,기타가족소유,1000000.0,생활비,1.0,18000000.0,0.0,802,0,3,1
551,20,550.0,36000000.0,EARNEDINCOME2,기타,기타가족소유,10000000.0,생활비,1.0,8000000.0,1.0,539,0,7,2
555,40,690.0,41000000.0,EARNEDINCOME,정규직,자가,30000000.0,대환대출,5.0,129000000.0,1.0,2041,0,2,0
563,40,740.0,35000000.0,PRIVATEBUSINESS,기타,자가,50000000.0,사업자금,7.0,348000000.0,1.0,2104,0,9,2
564,30,780.0,24000000.0,EARNEDINCOME,정규직,기타가족소유,30000000.0,생활비,3.0,60000000.0,0.0,366,0,1,1
572,20,550.0,20000000.0,EARNEDINCOME2,계약직,기타가족소유,10000000.0,생활비,3.0,18000000.0,1.0,2279,0,5,3
578,20,630.0,36000000.0,EARNEDINCOME2,정규직,전월세,10000000.0,생활비,3.0,24000000.0,1.0,327,0,2,3
581,30,750.0,25000000.0,EARNEDINCOME,정규직,기타가족소유,4000000.0,대환대출,1.0,17000000.0,1.0,1694,0,9,0
583,30,630.0,34000000.0,EARNEDINCOME,정규직,전월세,70000000.0,대환대출,7.0,88000000.0,1.0,342,0,5,0
589,30,620.0,49000000.0,EARNEDINCOME,정규직,전월세,50000000.0,생활비,2.0,74000000.0,0.0,3856,0,13,1
593,30,560.0,30000000.0,EARNEDINCOME,일용직,기타가족소유,3000000.0,대환대출,7.0,56000000.0,1.0,2054,0,14,0
600,40,750.0,70000000.0,EARNEDINCOME,정규직,전월세,5000000.0,대환대출,1.0,51000000.0,1.0,525,0,2,0
621,30,980.0,44000000.0,EARNEDINCOME,정규직,전월세,300000000.0,대환대출,3.0,423000000.0,1.0,1039,0,2,0
631,30,760.0,34000000.0,EARNEDINCOME2,일용직,기타가족소유,150000000.0,주택구입,3.0,18000000.0,1.0,12,0,1,0
634,40,630.0,30000000.0,PRACTITIONER,정규직,전월세,30000000.0,생활비,1.0,18000000.0,1.0,578,0,3,3
635,40,650.0,20000000.0,OTHERINCOME,기타,전월세,3000000.0,생활비,5.0,25000000.0,1.0,163,0,1,2
641,20,480.0,35000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,3.0,43000000.0,1.0,1888,0,4,0
643,40,580.0,50000000.0,FREELANCER,기타,자가,30000000.0,생활비,7.0,233000000.0,1.0,342,0,1,2
644,30,620.0,14000000.0,EARNEDINCOME,정규직,전월세,14000000.0,생활비,2.0,11000000.0,0.0,531,0,3,1
648,30,880.0,25000000.0,PRIVATEBUSINESS,기타,자가,10000000.0,생활비,1.0,18000000.0,0.0,1273,0,2,2
651,40,930.0,28000000.0,EARNEDINCOME,계약직,기타가족소유,16000000.0,생활비,3.0,30000000.0,1.0,483,0,3,3
657,50,630.0,30000000.0,OTHERINCOME,기타,기타가족소유,20000000.0,생활비,8.0,70000000.0,1.0,242,0,1,2
658,30,650.0,28000000.0,EARNEDINCOME,정규직,기타가족소유,15000000.0,대환대출,3.0,34000000.0,1.0,5071,0,4,0
665,30,770.0,30000000.0,OTHERINCOME,기타,전월세,10000000.0,생활비,1.0,6000000.0,0.0,385,0,4,2
666,40,620.0,50000000.0,FREELANCER,기타,자가,8000000.0,생활비,9.0,56000000.0,0.0,1348,0,7,2
668,30,770.0,40000000.0,PRIVATEBUSINESS,기타,전월세,100000000.0,주택구입,1.0,4000000.0,1.0,674,0,1,2
690,20,630.0,43000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,1.0,10000000.0,1.0,1277,0,6,0
698,20,810.0,30000000.0,EARNEDINCOME,계약직,전월세,14000000.0,생활비,3.0,28000000.0,1.0,416,0,4,3
700,20,740.0,26000000.0,EARNEDINCOME,정규직,기타가족소유,10000000.0,생활비,3.0,4000000.0,1.0,985,0,4,3
709,30,630.0,38000000.0,EARNEDINCOME,정규직,전월세,50000000.0,생활비,3.0,29000000.0,1.0,623,0,4,3
719,30,610.0,60000000.0,OTHERINCOME,기타,기타가족소유,20000000.0,생활비,7.0,54000000.0,0.0,2920,0,8,2
726,30,710.0,80000000.0,EARNEDINCOME,정규직,자가,60000000.0,대환대출,7.0,129000000.0,1.0,2149,0,5,0
734,30,700.0,28000000.0,FREELANCER,기타,자가,15000000.0,생활비,2.0,27000000.0,0.0,1140,0,3,2
741,30,920.0,42000000.0,EARNEDINCOME,정규직,자가,150000000.0,대환대출,5.0,112000000.0,1.0,340,0,1,0
746,20,630.0,29000000.0,EARNEDINCOME,계약직,전월세,15000000.0,생활비,1.0,8000000.0,1.0,1271,0,6,3
774,40,520.0,170000000.0,FREELANCER,기타,기타가족소유,70000000.0,대환대출,8.0,66000000.0,0.0,592,0,1,2
775,40,590.0,70000000.0,OTHERINCOME,기타,자가,5000000.0,생활비,5.0,45000000.0,0.0,359,0,2,2
776,40,770.0,54000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,대환대출,2.0,52000000.0,1.0,652,0,1,0
780,20,740.0,25000000.0,EARNEDINCOME,정규직,기타가족소유,10000000.0,생활비,1.0,3000000.0,1.0,1179,0,1,3
804,40,960.0,38000000.0,EARNEDINCOME,정규직,자가,50000000.0,생활비,2.0,124000000.0,1.0,1561,0,3,3
808,20,940.0,66000000.0,PRACTITIONER,정규직,전월세,50000000.0,투자,1.0,18000000.0,1.0,870,0,1,0
823,30,560.0,72000000.0,EARNEDINCOME,정규직,전월세,60000000.0,대환대출,3.0,41000000.0,1.0,938,0,2,0
824,20,950.0,0.0,FREELANCER,기타,전월세,3000000.0,생활비,2.0,7000000.0,0.0,293,0,1,2
837,40,630.0,25000000.0,FREELANCER,기타,기타가족소유,30000000.0,기타,4.0,31000000.0,0.0,3171,0,15,2
839,50,980.0,100000000.0,PRIVATEBUSINESS,정규직,자가,100000000.0,사업자금,2.0,394000000.0,1.0,656,0,1,0
848,60,880.0,31000000.0,EARNEDINCOME,정규직,자가,90000000.0,생활비,2.0,63000000.0,1.0,1803,0,7,3
874,50,810.0,53000000.0,EARNEDINCOME,정규직,전월세,50000000.0,대환대출,1.0,28000000.0,1.0,1263,0,5,0
878,20,630.0,30000000.0,FREELANCER,기타,전월세,2000000.0,생활비,1.0,15000000.0,1.0,888,0,1,2
882,40,1000.0,0.0,FREELANCER,기타,자가,50000000.0,생활비,3.0,53000000.0,1.0,241,0,1,2
887,40,690.0,27000000.0,EARNEDINCOME,정규직,자가,3000000.0,대환대출,6.0,50000000.0,0.0,2869,0,5,1
902,30,640.0,26000000.0,EARNEDINCOME,정규직,전월세,20000000.0,생활비,4.0,18000000.0,0.0,292,0,2,1
904,30,760.0,46000000.0,EARNEDINCOME,정규직,자가,12000000.0,대환대출,4.0,65000000.0,1.0,2020,0,4,0
906,30,910.0,46000000.0,EARNEDINCOME,정규직,자가,25000000.0,생활비,3.0,107000000.0,1.0,1071,0,4,3
908,60,880.0,25000000.0,EARNEDINCOME2,정규직,전월세,20000000.0,생활비,1.0,25000000.0,0.0,41,0,1,1
912,20,660.0,25000000.0,EARNEDINCOME,정규직,전월세,10000000.0,생활비,4.0,6000000.0,1.0,824,0,2,3
922,30,740.0,1000000.0,OTHERINCOME,기타,전월세,15000000.0,대환대출,1.0,15000000.0,0.0,252,0,1,2
924,40,660.0,65000000.0,EARNEDINCOME,정규직,전월세,3000000.0,생활비,5.0,72000000.0,1.0,569,0,1,3
935,30,680.0,120000000.0,PRIVATEBUSINESS,기타,전월세,10000000.0,생활비,2.0,24000000.0,1.0,376,0,2,2
937,20,710.0,28000000.0,EARNEDINCOME,정규직,전월세,15000000.0,대환대출,7.0,17000000.0,0.0,864,0,5,1
944,40,520.0,40000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,7.0,126000000.0,1.0,2451,0,6,0
945,50,660.0,0.0,OTHERINCOME,기타,자가,20000000.0,생활비,8.0,166000000.0,0.0,2711,0,6,2
946,50,600.0,46000000.0,EARNEDINCOME,정규직,전월세,20000000.0,생활비,4.0,185000000.0,1.0,601,0,4,3
955,40,670.0,45000000.0,FREELANCER,기타,기타가족소유,30000000.0,생활비,3.0,61000000.0,0.0,7372,0,33,2
977,30,910.0,60000000.0,EARNEDINCOME,정규직,전월세,240000000.0,전월세보증금,1.0,18000000.0,0.0,1379,0,1,1
980,30,930.0,40000000.0,EARNEDINCOME,정규직,전월세,10000000.0,기타,2.0,136000000.0,1.0,390,0,1,0
982,50,710.0,30000000.0,PRIVATEBUSINESS,기타,자가,2000000.0,생활비,5.0,78000000.0,1.0,554,0,4,2
983,30,650.0,45000000.0,EARNEDINCOME,정규직,전월세,17000000.0,대환대출,2.0,6000000.0,0.0,2655,0,5,1
985,30,710.0,0.0,OTHERINCOME,기타,전월세,40000000.0,대환대출,3.0,33000000.0,0.0,98,0,1,2
994,20,750.0,21000000.0,EARNEDINCOME,계약직,기타가족소유,5000000.0,생활비,1.0,1000000.0,0.0,2636,0,6,1
1002,30,720.0,33000000.0,EARNEDINCOME,정규직,전월세,39000000.0,대환대출,2.0,39000000.0,1.0,599,0,1,0
1014,30,640.0,42000000.0,EARNEDINCOME,정규직,전월세,30000000.0,대환대출,2.0,180000000.0,1.0,1755,0,4,0
1016,50,850.0,35000000.0,EARNEDINCOME2,계약직,자가,10000000.0,대환대출,4.0,11000000.0,1.0,1210,0,5,0
1017,30,730.0,12000000.0,EARNEDINCOME2,정규직,전월세,7000000.0,대환대출,1.0,18000000.0,1.0,1465,0,6,0
1028,30,580.0,31000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,4.0,84000000.0,0.0,730,0,3,1
1029,50,950.0,2000000.0,PRIVATEBUSINESS,기타,자가,300000000.0,주택구입,3.0,61000000.0,1.0,980,0,1,2
1030,30,630.0,35000000.0,EARNEDINCOME,일용직,기타가족소유,3000000.0,생활비,2.0,61000000.0,1.0,466,0,3,3
1044,40,640.0,18000000.0,OTHERINCOME,기타,기타가족소유,20000000.0,생활비,4.0,36000000.0,0.0,544,0,5,2
1048,30,650.0,40000000.0,EARNEDINCOME,정규직,자가,20000000.0,대환대출,4.0,281000000.0,0.0,3538,0,4,1
1051,30,520.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,10000000.0,생활비,9.0,114000000.0,1.0,60,0,2,3
1060,20,820.0,35000000.0,EARNEDINCOME,정규직,전월세,21000000.0,생활비,3.0,55000000.0,1.0,762,0,4,3
1065,40,820.0,30000000.0,PRIVATEBUSINESS,정규직,전월세,30000000.0,사업자금,1.0,10000000.0,0.0,1633,0,10,1
1089,40,740.0,20000000.0,EARNEDINCOME,정규직,전월세,22000000.0,대환대출,3.0,21000000.0,0.0,790,0,1,1
1092,50,960.0,32000000.0,EARNEDINCOME,정규직,전월세,50000000.0,생활비,1.0,18000000.0,0.0,307,0,1,1
1102,40,640.0,50000000.0,EARNEDINCOME,정규직,전월세,60000000.0,전월세보증금,4.0,77000000.0,1.0,631,0,2,0
1108,40,740.0,60000000.0,PRACTITIONER,정규직,전월세,22000000.0,대환대출,4.0,307000000.0,1.0,707,0,1,0
1117,40,540.0,25000000.0,FREELANCER,기타,기타가족소유,1000000.0,기타,6.0,56000000.0,0.0,466,0,2,2
1118,30,600.0,80000000.0,FREELANCER,기타,전월세,5000000.0,투자,6.0,25000000.0,0.0,1477,0,24,2
1127,60,670.0,65000000.0,PRACTITIONER,정규직,전월세,10000000.0,생활비,3.0,22000000.0,1.0,1444,0,4,3
1129,70,700.0,0.0,OTHERINCOME,기타,자가,10000000.0,생활비,3.0,44000000.0,0.0,129,0,1,2
1135,20,700.0,0.0,OTHERINCOME,기타,전월세,100000000.0,주택구입,3.0,20000000.0,0.0,107,0,2,2
1138,30,570.0,35000000.0,FREELANCER,기타,전월세,3000000.0,생활비,9.0,41000000.0,1.0,835,0,2,2
1148,30,870.0,78000000.0,EARNEDINCOME,정규직,자가,10000000.0,생활비,6.0,99000000.0,1.0,353,0,2,3
1152,20,550.0,37000000.0,EARNEDINCOME,정규직,전월세,30000000.0,대환대출,5.0,48000000.0,1.0,1754,0,5,0
1154,30,770.0,36000000.0,EARNEDINCOME,정규직,자가,12000000.0,대환대출,2.0,166000000.0,1.0,192,0,1,0
1166,50,630.0,42000000.0,EARNEDINCOME,정규직,전월세,20000000.0,대환대출,6.0,35000000.0,1.0,784,0,3,0
1168,20,580.0,34000000.0,EARNEDINCOME,정규직,기타가족소유,3000000.0,생활비,13.0,57000000.0,1.0,2087,0,3,3
1179,50,390.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,30000000.0,대환대출,2.0,28000000.0,0.0,551,0,10,1
1182,30,630.0,39000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,생활비,3.0,91000000.0,1.0,4429,0,10,3
1194,50,530.0,60000000.0,EARNEDINCOME,기타,자가,20000000.0,생활비,5.0,14000000.0,1.0,748,0,1,3
1197,30,860.0,49000000.0,EARNEDINCOME,정규직,자가,25000000.0,생활비,4.0,110000000.0,1.0,2583,0,5,3
1206,50,680.0,0.0,OTHERINCOME,기타,전월세,40000000.0,대환대출,4.0,288000000.0,0.0,1214,0,1,2
1214,40,650.0,35000000.0,EARNEDINCOME,계약직,전월세,35000000.0,대환대출,3.0,45000000.0,1.0,1530,0,3,0
1215,20,710.0,36000000.0,FREELANCER,기타,기타가족소유,16000000.0,대환대출,5.0,39000000.0,1.0,753,0,1,2
1219,40,590.0,44000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,4.0,74000000.0,1.0,5787,0,9,0
1221,40,580.0,38000000.0,EARNEDINCOME,정규직,전월세,5000000.0,생활비,3.0,64000000.0,1.0,515,0,3,3
1223,20,830.0,30000000.0,EARNEDINCOME,정규직,기타가족소유,13000000.0,생활비,1.0,13000000.0,1.0,3977,0,5,3
1237,30,860.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,100000000.0,생활비,1.0,18000000.0,1.0,1553,0,12,3
1239,40,780.0,20000000.0,PRIVATEBUSINESS,기타,자가,50000000.0,사업자금,3.0,61000000.0,1.0,0,0,1,2
1243,30,940.0,50000000.0,EARNEDINCOME,정규직,자가,20000000.0,대환대출,1.0,265000000.0,1.0,1160,0,2,0
1248,20,620.0,23000000.0,EARNEDINCOME2,계약직,기타가족소유,1000000.0,생활비,16.0,44000000.0,1.0,5439,0,9,3
1273,50,790.0,100000000.0,PRIVATEBUSINESS,정규직,전월세,50000000.0,사업자금,2.0,14000000.0,1.0,1332,0,1,0
1275,30,850.0,36000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,생활비,2.0,2000000.0,1.0,356,0,1,3
