,birth_year,credit_score,yearly_income,income_type,employment_type,houseown_type,desired_amount,purpose,existing_loan_cnt,existing_loan_amt,gender,time,cluster,count,kmeans_minmax_label3
321,20,500.0,76.91605673134588,0,0,0,6324.555320336759,1,1.2510334048590739,6633.2495807108,1.0,4.779886956570388,1,4,0
323,20,900.0,79.52707287670506,0,0,0,7071.067811865475,1,1.2228445449938519,6928.203230275509,1.0,4.977853291000824,1,2,0
325,50,930.0,78.51378224852613,0,3,3,3162.2776601683795,3,1.0,2000.0,1.0,5.7180036243905645,1,9,1
327,30,1000.0,96.85469281169013,0,3,3,3162.2776601683795,6,1.147202690439877,13228.756555322952,1.0,3.9069601383266948,1,1,1
332,40,660.0,98.72585449014339,0,3,3,4472.13595499958,1,1.2510334048590739,9949.8743710662,0.0,4.773004452102369,1,1,2
334,30,740.0,56.23413251903491,5,3,2,5477.2255750516615,2,1.147202690439877,9219.544457292888,1.0,4.297229958079901,1,3,0
336,20,640.0,69.99271023161167,2,1,3,2236.06797749979,3,1.0,4242.640687119285,0.0,4.172157138163568,1,5,2
339,40,490.0,98.72585449014339,0,3,0,2236.06797749979,3,1.2510334048590739,5567.764362830022,1.0,5.935303691271161,1,6,1
340,50,590.0,72.08434242404263,0,3,0,4472.13595499958,3,1.5481542968736772,15556.349186104046,1.0,3.657743588643093,1,5,1
355,40,770.0,85.72321289096399,3,1,2,10000.0,1,1.0,1414.213562373095,1.0,5.1252171732647,1,2,0
360,50,710.0,69.99271023161167,3,1,3,7071.067811865475,1,1.2510334048590739,8185.35277187245,0.0,0.0,1,2,2
367,30,650.0,56.23413251903491,3,1,2,2000.0,3,1.4631114595026835,14387.494569938159,1.0,5.4341187068803345,1,4,0
369,30,620.0,71.40741917751113,0,3,2,2236.06797749979,3,1.2968395546510096,6557.438524302001,1.0,5.0139415812265975,1,7,1
374,30,700.0,74.00828044922852,2,1,0,3162.2776601683795,3,1.147202690439877,4358.898943540674,1.0,0.0,1,1,0
379,40,620.0,92.11558703193813,0,0,0,4472.13595499958,3,1.0,5477.2255750516615,1.0,4.019389807098026,1,10,0
386,30,960.0,89.44271909999159,0,3,3,59160.79783099616,6,1.0,13341.664064126333,0.0,0.0,1,1,2
390,30,690.0,70.71067811865476,0,3,3,5477.2255750516615,1,1.147202690439877,6557.438524302001,0.0,0.0,1,1,2
393,30,990.0,86.1173529963367,0,3,3,7071.067811865475,3,1.147202690439877,6557.438524302001,1.0,0.0,1,1,1
396,20,540.0,76.91605673134588,0,3,0,3162.2776601683795,3,1.147202690439877,4690.41575982343,1.0,1.6817928305074292,1,2,1
404,20,760.0,84.08964152537145,5,3,2,4472.13595499958,2,1.0,4242.640687119285,1.0,4.585171320859084,1,5,0
409,70,700.0,49.49232003839765,0,0,2,3162.2776601683795,2,1.0,4242.640687119285,0.0,3.631928682982765,1,3,2
414,20,650.0,77.45966692414834,1,2,3,1000.0,3,1.0,4242.640687119285,1.0,0.0,1,1,1
416,30,690.0,101.94265469082735,0,3,2,3741.657386773941,3,1.4249712926473048,26153.39366124404,1.0,12.366145256880282,1,93,1
418,50,630.0,97.40037464252967,5,1,3,4472.13595499958,3,1.2510334048590739,6708.203932499369,0.0,5.748514876358642,1,2,2
426,20,640.0,74.00828044922852,0,3,3,2236.06797749979,3,1.0,7937.253933193771,0.0,4.687991145025331,1,2,2
439,40,550.0,68.48661007688605,0,3,2,3162.2776601683795,3,1.2228445449938519,6244.9979983983985,1.0,5.415326084108911,1,2,1
442,20,920.0,79.02529973621358,0,3,0,7071.067811865475,3,1.189207115002721,13564.659966250536,0.0,4.019389807098026,1,1,2
445,30,550.0,72.08434242404263,0,3,3,3162.2776601683795,3,1.0,4242.640687119285,1.0,6.111439993484858,1,7,1
449,30,630.0,74.61745347323253,0,3,3,2236.06797749979,3,1.147202690439877,6557.438524302001,1.0,5.561961578122959,1,2,1
451,20,670.0,81.44476398584995,0,3,3,5477.2255750516615,1,1.0905077326652577,4690.41575982343,1.0,2.087797629929844,1,1,1
454,30,570.0,88.73560657375263,0,3,3,7416.198487095663,1,1.189207115002721,8062.25774829855,1.0,3.8600083452955563,1,1,1
457,20,630.0,74.00828044922852,0,3,3,3162.2776601683795,3,1.0,3000.0,1.0,3.3766483753851806,1,4,1
458,20,760.0,79.52707287670506,5,1,2,4000.0,2,1.147202690439877,5916.079783099616,1.0,0.0,1,1,0
459,20,840.0,74.00828044922852,2,1,0,1000.0,1,1.0,1732.0508075688772,1.0,6.254215732705092,1,14,0
478,40,660.0,79.52707287670506,0,3,2,4000.0,1,1.2228445449938519,11489.125293076057,1.0,4.967688130157341,1,2,1
479,30,610.0,84.08964152537145,0,3,3,7071.067811865475,1,1.2228445449938519,14628.738838327794,1.0,5.691069273994413,1,19,1
480,50,550.0,75.79289311365564,0,3,2,1732.0508075688772,3,1.2753731068584542,8062.25774829855,0.0,5.083866242009144,1,5,2
485,40,670.0,84.08964152537145,0,3,3,7071.067811865475,1,1.2228445449938519,5744.562646538028,0.0,1.0,1,1,2
486,30,710.0,79.52707287670506,0,3,0,3162.2776601683795,3,1.0,4242.640687119285,1.0,2.68534961428265,1,1,1
488,20,630.0,69.99271023161167,3,1,0,1732.0508075688772,3,1.189207115002721,4690.41575982343,1.0,4.955406977798831,1,3,0
490,30,590.0,71.40741917751113,0,3,3,4472.13595499958,0,1.189207115002721,7483.314773547882,1.0,4.873262169643229,1,3,1
496,30,910.0,92.4337803257961,0,3,3,15748.015748023621,5,1.0,10954.451150103323,1.0,0.0,1,1,1
498,30,640.0,79.52707287670506,0,3,0,7745.966692414834,1,1.189207115002721,7483.314773547882,1.0,3.1543421455299043,1,2,1
499,20,740.0,0.0,3,1,3,1414.213562373095,3,1.0,1732.0508075688772,1.0,1.4142135623730951,1,3,0
502,40,650.0,85.72321289096399,0,3,3,8660.254037844386,1,1.147202690439877,9110.433579144299,1.0,5.449631621480024,1,3,1
508,30,660.0,81.903625881272,5,3,3,8944.27190999916,3,1.2228445449938519,7280.1098892805185,1.0,4.784458828803859,1,1,0
519,60,610.0,84.08964152537145,3,1,0,3162.2776601683795,2,1.2753731068584542,5477.2255750516615,0.0,0.0,1,1,2
523,40,700.0,70.71067811865476,0,0,3,3872.983346207417,3,1.147202690439877,3741.657386773941,1.0,4.6952537402198615,1,2,0
527,40,670.0,97.93703613355592,0,3,3,10954.451150103323,1,1.2968395546510096,21817.42422927143,1.0,2.892507608519078,1,1,1
528,60,580.0,70.71067811865476,4,3,2,3872.983346207417,3,1.147202690439877,7549.83443527075,0.0,5.346326949964144,1,5,2
529,40,940.0,79.52707287670506,0,3,2,3162.2776601683795,3,1.147202690439877,9165.15138991168,1.0,0.0,1,1,1
530,50,750.0,94.57416090031758,4,0,0,12247.44871391589,7,1.0,1000.0,1.0,0.0,1,2,0
532,30,650.0,72.74271525128259,2,1,0,1000.0,3,1.2228445449938519,2828.42712474619,1.0,6.602195804079635,1,7,0
548,30,670.0,69.99271023161167,3,1,0,3162.2776601683795,3,1.333521432163324,7071.067811865475,0.0,4.284572294953817,1,7,2
556,40,460.0,79.52707287670506,0,3,0,5477.2255750516615,3,1.0905077326652577,7615.773105863908,1.0,3.7792667089113596,1,3,1
557,50,850.0,74.00828044922852,2,1,3,3162.2776601683795,6,1.0905077326652577,4795.83152331272,0.0,2.2581008643532257,1,1,2
558,20,630.0,75.79289311365564,0,3,3,5744.562646538028,3,1.147202690439877,6164.414002968976,0.0,3.7930850992217615,1,2,2
559,40,730.0,91.46912192286945,0,3,3,12247.44871391589,1,1.2510334048590739,18547.23699099141,1.0,3.3831232821550556,1,1,1
565,50,640.0,74.61745347323253,0,3,2,3162.2776601683795,1,1.2228445449938519,16703.293088490067,0.0,4.894721350743255,1,3,2
569,10,750.0,75.79289311365564,0,3,0,5477.2255750516615,3,1.0,4242.640687119285,1.0,1.7320508075688772,1,2,1
571,50,980.0,84.08964152537145,0,3,3,2236.06797749979,6,1.0,4242.640687119285,0.0,0.0,1,1,2
573,40,840.0,88.01117367933934,0,3,3,5477.2255750516615,1,1.0905077326652577,5291.502622129181,1.0,5.3364840233805895,1,4,1
574,50,680.0,0.0,3,1,0,0.0,3,1.0,4242.640687119285,1.0,3.138288992714996,1,2,0
576,40,670.0,84.08964152537145,0,3,2,8366.600265340756,1,1.147202690439877,9165.15138991168,1.0,0.0,1,1,1
577,30,940.0,80.01952410151443,0,3,2,14142.13562373095,5,1.0,7071.067811865475,1.0,0.0,1,2,1
585,30,670.0,69.25194237934933,0,3,3,4472.13595499958,1,1.189207115002721,5830.951894845301,0.0,0.0,1,1,2
587,60,690.0,69.99271023161167,0,3,2,2236.06797749979,3,1.333521432163324,4358.898943540674,0.0,4.521620096852551,1,2,2
588,40,990.0,100.0,0,3,0,21447.610589527216,0,1.0905077326652577,16278.820596099706,0.0,2.5900200641113513,1,1,2
597,40,540.0,75.21206186172788,0,3,0,1414.213562373095,3,1.0,5477.2255750516615,1.0,4.901104395840658,1,1,1
601,30,930.0,79.52707287670506,0,0,3,4472.13595499958,0,1.147202690439877,5291.502622129181,1.0,0.0,1,1,0
604,20,780.0,74.61745347323253,0,3,3,4472.13595499958,3,1.0,3316.6247903554,0.0,5.599359857446364,1,2,2
607,30,750.0,69.99271023161167,3,1,3,3162.2776601683795,3,1.3642616018213658,4242.640687119285,1.0,3.672973939906468,1,1,0
608,60,810.0,62.23329772884784,3,1,2,3162.2776601683795,3,1.0,4242.640687119285,1.0,4.438210856143747,1,1,0
610,20,530.0,71.40741917751113,0,3,0,2236.06797749979,1,1.189207115002721,4898.979485566356,0.0,6.080539704226287,1,4,2
611,20,670.0,75.21206186172788,5,3,0,3162.2776601683795,3,1.189207115002721,6633.2495807108,1.0,0.0,1,1,0
612,20,780.0,77.45966692414834,0,3,0,7071.067811865475,0,1.189207115002721,5477.2255750516615,1.0,3.7652950586584613,1,2,1
616,20,630.0,72.08434242404263,0,3,0,3162.2776601683795,3,1.0905077326652577,3741.657386773941,1.0,4.412246857773462,1,5,1
617,40,810.0,65.13555624326305,2,1,0,3162.2776601683795,3,1.147202690439877,4358.898943540674,0.0,4.49157444576309,1,1,2
626,50,560.0,81.903625881272,3,1,0,1000.0,3,1.189207115002721,5099.019513592785,1.0,7.647830755420719,1,19,0
630,40,690.0,84.50697266227711,0,3,3,4472.13595499958,0,1.0905077326652577,6708.203932499369,1.0,3.1219856413521447,1,3,1
640,30,550.0,78.51378224852613,0,3,2,3872.983346207417,3,1.189207115002721,8717.797887081348,1.0,5.5821924816120205,1,13,1
646,20,970.0,83.23582900575634,0,3,2,31622.776601683792,6,1.0,4242.640687119285,1.0,0.0,1,1,1
647,40,620.0,84.08964152537145,3,1,0,2236.06797749979,3,1.2228445449938519,5196.152422706632,0.0,0.0,1,1,2
653,40,900.0,74.00828044922852,5,3,3,7071.067811865475,2,1.147202690439877,6782.329983125268,1.0,0.0,1,1,0
661,30,1000.0,99.74905699336811,0,3,2,12247.44871391589,5,1.0,4242.640687119285,1.0,5.341412288465871,1,2,1
662,30,800.0,100.0,5,1,2,7071.067811865475,2,1.0905077326652577,13000.0,1.0,3.952277742240961,1,1,0
663,20,740.0,77.45966692414834,0,3,3,8366.600265340756,6,1.147202690439877,6557.438524302001,0.0,2.8502698827717983,1,1,2
673,30,500.0,75.21206186172788,0,3,0,5744.562646538028,3,1.147202690439877,6000.0,1.0,4.370923606578225,1,2,1
675,20,700.0,79.52707287670506,1,3,3,3162.2776601683795,3,1.147202690439877,1414.213562373095,1.0,4.53508145474843,1,6,1
677,30,950.0,102.41136890844452,0,3,2,22360.679774997898,6,1.2510334048590739,24779.023386727735,1.0,5.641600918682489,1,3,1
679,20,730.0,75.21206186172788,0,3,3,2828.42712474619,1,1.0905077326652577,3464.1016151377544,1.0,3.4996355115805833,1,1,1
685,20,650.0,72.08434242404263,0,0,3,1732.0508075688772,3,1.0905077326652577,2449.489742783178,0.0,4.19604776684668,1,4,2
687,30,900.0,93.06048591020996,0,3,3,24494.89742783178,6,1.147202690439877,6557.438524302001,1.0,4.3253077270721105,1,1,1
689,30,990.0,94.57416090031758,0,3,2,16093.47693943108,1,1.0,16093.47693943108,1.0,4.19942759058284,1,1,1
694,40,970.0,92.4337803257961,0,3,2,10000.0,3,1.2228445449938519,9433.981132056604,1.0,0.0,1,3,1
695,50,880.0,80.50304775850329,0,3,0,7071.067811865475,2,1.147202690439877,7141.42842854285,1.0,5.735308919909811,1,2,1
696,40,790.0,69.25194237934933,0,3,0,5477.2255750516615,1,1.0905077326652577,5099.019513592785,0.0,2.4989993994393833,1,1,2
701,20,650.0,70.71067811865476,0,3,3,4472.13595499958,1,1.2510334048590739,12449.899597988733,1.0,4.31289638615841,1,2,1
702,30,850.0,56.23413251903491,3,1,3,2236.06797749979,3,1.0,4242.640687119285,0.0,3.5397689311792186,1,1,2
703,20,770.0,80.50304775850329,0,3,0,3162.2776601683795,3,1.189207115002721,8124.03840463596,1.0,4.075935196471621,1,3,1
704,40,750.0,31.622776601683793,3,1,3,2236.06797749979,3,1.0,4242.640687119285,0.0,0.0,1,1,2
707,30,640.0,76.36066981663598,0,3,3,5477.2255750516615,1,1.0905077326652577,2645.7513110645905,0.0,5.349595876560057,1,2,2
708,30,600.0,74.61745347323253,0,3,3,2828.42712474619,1,1.147202690439877,4000.0,1.0,5.276250734579443,1,5,1
710,40,950.0,76.36066981663598,0,3,3,2828.42712474619,1,1.0905077326652577,2828.42712474619,1.0,2.114742526881128,1,1,1
711,20,640.0,74.00828044922852,0,3,3,6324.555320336759,3,1.147202690439877,6557.438524302001,1.0,5.600783363308765,1,2,1
714,40,610.0,79.52707287670506,0,3,3,4472.13595499958,1,1.0,4242.640687119285,1.0,7.850861635829529,1,8,1
731,40,700.0,66.87403049764221,2,1,3,5477.2255750516615,3,1.0,4242.640687119285,1.0,1.4142135623730951,1,2,0
732,40,760.0,88.01117367933934,0,3,2,15811.388300841896,1,1.2228445449938519,15099.6688705415,1.0,4.441067768376882,1,1,1
735,40,900.0,91.46912192286945,3,1,2,1000.0,3,1.0,0.0,1.0,2.189938703094842,1,2,0
738,20,590.0,72.08434242404263,0,0,3,3872.983346207417,1,1.147202690439877,5291.502622129181,1.0,5.852272001461263,1,1,0
744,20,740.0,51.436867236104014,3,1,0,2645.7513110645905,0,1.0,1732.0508075688772,1.0,0.0,1,2,0
750,20,590.0,70.71067811865476,3,1,3,4795.83152331272,3,1.147202690439877,4472.13595499958,0.0,6.0491610101785165,1,5,2
757,30,800.0,88.01117367933934,0,3,3,4472.13595499958,3,1.2228445449938519,15132.745950421557,0.0,4.352849103919916,1,3,2
760,30,790.0,66.87403049764221,3,1,0,6324.555320336759,1,1.3160740129524924,9273.618495495704,0.0,0.0,1,1,2
761,40,620.0,81.903625881272,0,3,3,7071.067811865475,1,1.2228445449938519,8544.003745317532,1.0,2.5755095769013945,1,1,1
762,50,580.0,79.52707287670506,0,3,3,5916.079783099616,1,1.0,5744.562646538028,0.0,0.0,1,1,2
763,30,950.0,86.1173529963367,0,3,2,7071.067811865475,3,1.147202690439877,9165.15138991168,1.0,0.0,1,1,1
765,20,750.0,51.436867236104014,3,1,0,3162.2776601683795,3,1.0,4242.640687119285,1.0,1.7782794100389228,1,1,0
766,40,790.0,74.00828044922852,0,3,0,2236.06797749979,3,1.147202690439877,4123.105625617661,0.0,5.5677643628300215,1,1,2
772,30,560.0,81.903625881272,0,3,0,3605.5512754639894,3,1.0905077326652577,9433.981132056604,1.0,3.6780088714505137,1,4,1
778,20,750.0,31.622776601683793,2,1,0,1000.0,0,1.147202690439877,4358.898943540674,1.0,0.0,1,1,0
779,20,840.0,0.0,2,1,0,1732.0508075688772,3,1.0905077326652577,1732.0508075688772,1.0,0.0,1,1,0
782,30,930.0,85.32355998949247,4,3,2,8944.27190999916,3,1.0,4242.640687119285,1.0,4.13022058844706,1,4,0
783,40,810.0,80.97801259787747,0,3,3,7071.067811865475,1,1.147202690439877,6557.438524302001,0.0,0.0,1,1,2
788,50,1000.0,118.9207115002721,2,1,2,10000.0,1,1.189207115002721,14525.83904633395,0.0,1.0,1,1,2
790,60,610.0,74.00828044922852,0,3,3,3162.2776601683795,3,1.147202690439877,6557.438524302001,1.0,2.189938703094842,1,2,1
794,50,900.0,84.08964152537145,5,1,2,13038.404810405298,1,1.0,3872.983346207417,1.0,1.8211602868378718,1,1,0
797,70,790.0,84.08964152537145,5,3,2,3162.2776601683795,2,1.0,4242.640687119285,0.0,3.452010325565812,1,1,2
798,40,690.0,94.57416090031758,5,1,0,7071.067811865475,3,1.0,6082.76253029822,1.0,3.23114631499574,1,2,0
799,20,910.0,77.99206709850829,0,3,0,2000.0,3,1.189207115002721,6082.76253029822,0.0,2.8284271247461903,1,1,2
802,40,640.0,94.57416090031758,5,3,3,10000.0,2,1.147202690439877,4690.41575982343,1.0,3.511243085566414,1,3,0
803,30,620.0,84.08964152537145,0,3,0,8944.27190999916,2,1.0,7416.198487095663,0.0,1.5650845800732873,1,3,2
806,60,680.0,88.01117367933934,0,3,3,5477.2255750516615,3,1.147202690439877,6557.438524302001,1.0,2.340347319320716,1,6,1
810,50,560.0,94.57416090031758,0,3,2,1732.0508075688772,3,1.333521432163324,17320.508075688773,1.0,3.647483337268324,1,3,1
811,30,610.0,81.903625881272,0,3,3,4472.13595499958,1,1.147202690439877,6557.438524302001,1.0,0.0,1,1,1
812,50,670.0,76.91605673134588,0,3,3,5477.2255750516615,1,1.147202690439877,6557.438524302001,1.0,0.0,1,1,1
813,40,910.0,76.36066981663598,0,3,3,3162.2776601683795,3,1.147202690439877,6557.438524302001,1.0,0.0,1,1,1
814,40,1000.0,91.46912192286945,0,3,2,10000.0,3,1.147202690439877,9165.15138991168,1.0,0.0,1,1,1
815,40,610.0,104.66351393921056,0,3,0,7071.067811865475,1,1.2753731068584542,13266.4991614216,1.0,4.226176889280873,1,1,1
816,20,580.0,75.79289311365564,5,3,3,2645.7513110645905,2,1.2228445449938519,5744.562646538028,0.0,5.174635801483209,1,4,2
818,30,860.0,79.52707287670506,3,1,3,8366.600265340756,6,1.0,8124.03840463596,1.0,4.47771567384123,1,3,0
819,30,630.0,66.87403049764221,3,1,0,2236.06797749979,3,1.0905077326652577,3000.0,1.0,0.0,1,1,0
821,30,980.0,76.91605673134588,0,3,3,7071.067811865475,2,1.0,4242.640687119285,1.0,4.08329915638483,1,3,1
822,30,940.0,75.21206186172788,0,3,2,14142.13562373095,6,1.0,12727.922061357855,1.0,4.499828522434671,1,1,1
825,40,670.0,84.91821094987799,0,3,2,7745.966692414834,1,1.2510334048590739,14933.18452306808,1.0,0.0,1,1,1
